typhoon;startdate;enddate;actuals;predictions
Haima;14-10-2016;26-10-2016;yes;yes
Nina;20-12-2016;28-12-2016;no;yes
Haiyan;3-11-2013;11-11-2013;yes;no
Melor;10-12-2015;17-12-2015;yes;no
Rammasun;9-7-2014;20-7-2014;yes;no
Hagupit;30-11-2014;12-12-2014;yes;no
