section;label;label_long;subitem_name;subitem_text;subitem_img;img_width
intro;Home;Home;;;modules/dashboards/img/storyboards/echo2/ppt/Slide1.png;100%
problem;Problem;The Problem;;;modules/dashboards/img/storyboards/echo2/ppt/Slide2.png;100%
problem;Problem;The Problem;;;modules/dashboards/img/storyboards/echo2/ppt/Slide3.png;100%
solution;Solution;A Data-driven solution;;;modules/dashboards/img/storyboards/echo2/ppt/Slide4.png;100%
solution;Solution;A Data-driven solution;;;modules/dashboards/img/storyboards/echo2/ppt/Slide5.png;100%
solution;Solution;A Data-driven solution;;;modules/dashboards/img/storyboards/echo2/ppt/Slide6.png;100%
data;Data;Data sources;;;modules/dashboards/img/storyboards/echo2/ppt/Slide7.png;100%
data;Data;Data sources;;;modules/dashboards/img/storyboards/echo2/ppt/Slide8.png;100%
data;Data;Data sources;;;modules/dashboards/img/storyboards/echo2/ppt/Slide9.png;100%
data;Data;Data sources;;;modules/dashboards/img/storyboards/echo2/ppt/Slide10.png;100%
data;Data;Data sources;;;modules/dashboards/img/storyboards/echo2/ppt/Slide11.png;100%
methodology;Methodology;Methodology;;;modules/dashboards/img/storyboards/echo2/ppt/Slide12.png;100%
priority;Priority Areas;Priority Areas;;;modules/dashboards/img/storyboards/echo2/ppt/Slide13.png;100%
priority;Priority Areas;Priority Areas;;;modules/dashboards/img/storyboards/echo2/ppt/Slide14.png;100%
priority;Priority Areas;Priority Areas;;;modules/dashboards/img/storyboards/echo2/ppt/Slide15.png;100%
priority;Priority Areas;Priority Areas;;;modules/dashboards/img/storyboards/echo2/ppt/Slide16.png;100%
priority;Priority Areas;Priority Areas;;;modules/dashboards/img/storyboards/echo2/ppt/Slide17.png;100%
priority;Priority Areas;Priority Areas;;;modules/dashboards/img/storyboards/echo2/ppt/Slide18.png;100%
priority;Priority Areas;Priority Areas;;;modules/dashboards/img/storyboards/echo2/ppt/Slide19.png;100%
priority;Priority Areas;Priority Areas;;;modules/dashboards/img/storyboards/echo2/ppt/Slide20.png;100%
contact;Contact;Contact and Next Steps;;;modules/dashboards/img/storyboards/echo2/ppt/Slide21.png;100%
